source_id,name,ra,dec,distance,spectral_type,magnitude
GAIA-DR3-5853498713190525696,"GAIA DR3 5853498713190525696",217.39232147,-62.67607512,4.2465,M7IV,8.98
GAIA-DR3-4472832130942575872,"GAIA DR3 4472832130942575872",269.44850253,4.73942005,5.9629,M3V,8.19
GAIA-DR3-3864972938605115520,"GAIA DR3 3864972938605115520",164.10319031,7.00272694,7.8558,M9V,11.04
GAIA-DR3-762815470562110464,"GAIA DR3 762815470562110464",165.83095968,35.94865303,8.3044,M6V,6.55
GAIA-DR3-2947050466531873024,"GAIA DR3 2947050466531873024",101.28662552,-16.72093253,8.7094,A8V,8.52
GAIA-DR3-5140693571158946048,"GAIA DR3 5140693571158946048",24.77167421,-17.94768286,8.7244,M6IV,10.82
GAIA-DR3-5140693571158739840,"GAIA DR3 5140693571158739840",24.77155429,-17.94829989,8.8699,M5IV,10.51
GAIA-DR3-4075141768785646848,"GAIA DR3 4075141768785646848",282.45878902,-23.83709745,9.7063,M5IV,9.13
GAIA-DR3-1926461164913660160,"GAIA DR3 1926461164913660160",355.48001526,44.17037570,10.3057,M8V,10.38
GAIA-DR3-5164707970261890560,"GAIA DR3 5164707970261890560",53.22829342,-9.45816822,10.5016,K7V,3.47
GAIA-DR3-6553614253923452800,"GAIA DR3 6553614253923452800",346.50391668,-35.84716421,10.7241,M1V,6.52
GAIA-DR3-3796072592206250624,"GAIA DR3 3796072592206250624",176.93768799,0.79911997,11.0075,M6V,9.60
GAIA-DR3-1872046574983497216,"GAIA DR3 1872046574983497216",316.75366275,38.75607277,11.4039,K6V,5.45
GAIA-DR3-1872046609345556480,"GAIA DR3 1872046609345556480",316.74847929,38.76386245,11.4043,K3V,4.77
GAIA-DR3-2154880616774131840,"GAIA DR3 2154880616774131840",280.68307084,59.63835791,11.4909,M5V,7.85
GAIA-DR3-2154880616774131712,"GAIA DR3 2154880616774131712",280.68308625,59.63514545,11.4910,M6V,8.52
GAIA-DR3-385334230892516480,"GAIA DR3 385334230892516480",4.61322626,44.02478674,11.6191,M8V,7.22
GAIA-DR3-385334196532776576,"GAIA DR3 385334196532776576",4.62530068,44.02874452,11.6196,M4V,9.69
GAIA-DR3-703790044252850688,"GAIA DR3 703790044252850688",127.45009240,26.77328597,11.6798,M5IV,12.17
GAIA-DR3-6412595290592307840,"GAIA DR3 6412595290592307840",330.87240788,-56.79725466,11.8670,K4V,4.32
GAIA-DR3-2452378776434477184,"GAIA DR3 2452378776434477184",26.00905506,-15.93368020,11.9118,G1V,3.30
GAIA-DR3-4848140361962951552,"GAIA DR3 4848140361962951552",54.00339388,-44.51436232,11.9839,M2V,11.00
GAIA-DR3-2358524597030794112,"GAIA DR3 2358524597030794112",18.13325425,-16.99615487,12.1222,M0V,10.44
GAIA-DR3-3139847906307949696,"GAIA DR3 3139847906307949696",111.85462844,5.20938270,12.3485,M9IV,8.58
GAIA-DR3-35227046884571776,"GAIA DR3 35227046884571776",43.26964248,16.86437382,12.4970,M6V,12.26
GAIA-DR3-4810594479418041856,"GAIA DR3 4810594479418041856",77.95993735,-45.04381270,12.8308,M1IV,8.06
GAIA-DR3-6583272171336048640,"GAIA DR3 6583272171336048640",319.29501814,-38.87245640,12.9472,M5IV,5.98
GAIA-DR3-6439125097427143808,"GAIA DR3 6439125097427143808",281.29804386,-63.96056737,13.0638,M2V,14.01
GAIA-DR3-5393446658454453632,"GAIA DR3 5393446658454453632",162.05388772,-39.93962595,13.1932,M9V,14.01
GAIA-DR3-4330690742322011520,"GAIA DR3 4330690742322011520",247.57481416,-12.66785108,14.0501,M7V,8.80
GAIA-DR3-2552928187080872832,"GAIA DR3 2552928187080872832",12.29674025,5.37655661,14.0718,F0V,12.30
GAIA-DR3-3902874650602495232,"GAIA DR3 3902874650602495232",188.31449280,9.02209162,14.1121,M5V,11.24
